Name,Artist,Album,Popularity,Lyrics,Lyrics length,Spotify ID,Spotify features,Danceability,Energy,loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration,Audio
A Whiter Shade Of Pale,Procol Harum,A Whiter Shade Of Pale,0,"38 ContributorsA Whiter Shade of Pale Lyrics[Intro]

[Verse 1]
We skipped the light fandango
Turned cartwheels 'cross the floor
I was feeling kinda seasick
But the crowd called out for more
The room was humming harder
As the ceiling flew away
When we called out for another drink
The waiter brought a tray

[Chorus]
And so it was that later
As the miller told his tale
That her face, at first just ghostly
Turned a whiter shade of pale

[Bridge 1]

[Verse 2]
She said, there is no reason
And the truth is plain to see
But I wandered through my playing cards
And would not let her be
One of sixteen vestal virgins
Who were leaving for the coast
And although my eyes were open
They might have just as well've been closed
You might also like[Chorus]
And so it was that later
As the miller told his tale
That her face at first just ghostly
Turned a whiter shade of pale

[Bridge 2]

[Additional Verse]
She said, 'I'm home on shore leave,'
Though in truth we were at sea
So I took her by the looking glass
And forced her to agree
Saying, 'You must be the mermaid
Who took Neptune for a ride.'
But she smiled at me so sadly
That my anger straightway died

[Chorus]
And so it was that later
As the miller told his tale
That her face at first just ghostly
Turned a whiter shade of pale
[Verse 4]
If music be the food of love
Then laughter is its queen
And likewise if behind is in front
Then dirt in truth is clean
My mouth by then like cardboard
Seemed to slip straight through my head
So we crash-dived straightway quickly
And attacked the ocean bed
[Chorus]
And so it was that later
As the miller told his tale
That her face at first just ghostly
Turned a whiter shade of pale16Embed",320,7DsQgIwg23u9gooCxkRTu3,"{'danceability': 0.249, 'energy': 0.66, 'key': 0, 'loudness': -6.904, 'mode': 1, 'speechiness': 0.0343, 'acousticness': 0.514, 'instrumentalness': 0.00271, 'liveness': 0.0891, 'valence': 0.427, 'tempo': 149.822, 'type': 'audio_features', 'id': '7DsQgIwg23u9gooCxkRTu3', 'uri': 'spotify:track:7DsQgIwg23u9gooCxkRTu3', 'track_href': 'https://api.spotify.com/v1/tracks/7DsQgIwg23u9gooCxkRTu3', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7DsQgIwg23u9gooCxkRTu3', 'duration_ms': 248947, 'time_signature': 4}",0.249,0.66,-6.904,0.0343,0.514,0.00271,0.0891,0.427,149.822,248947,https://p.scdn.co/mp3-preview/0221204227043fdf9406e70b6b38a78c99f82373?cid=a4bf3a6d2a1640eeaff76c0764a15e10
My Sweet Lord,George Harrison,All Things Must Pass (Remastered),0,"58 ContributorsMy Sweet Lord Lyrics[Chorus]
My sweet Lord
Mmm, my Lord
Mmm, my Lord

[Verse 1]
I really wanna see you
Really wanna be with you
Really wanna see you, Lord
But it takes so long, my Lord

[Chorus]
My sweet Lord
Mmm, my Lord
Mmm, my Lord

[Verse 2]
I really wanna know you
I'd really wanna go with you
I really wanna show you, Lord
That it won't take long, my Lord

[Chorus]
(Hallelujah)
My sweet Lord (Hallelujah)
Mmm, my Lord (Hallelujah)
My sweet Lord (Hallelujah)
You might also like[Verse 3]
I really wanna see you
Really wanna see you
Really wanna see you, Lord
Really wanna see you, Lord
But it takes so long, my Lord

[Chorus]
(Hallelujah)
My sweet Lord (Hallelujah)
Mmm, my Lord (Hallelujah)
My, my, my Lord (Hallelujah)

[Verse 4]
I really wanna know you (Hallelujah)
Really wanna go with you (Hallelujah)
I really wanna show you, Lord
That it won't take long, my Lord

[Chorus]
(Hallelujah)
Mmmmm (Hallelujah)
My sweet Lord (Hallelujah)
My, my Lord (Hallelujah)

[Guitar Solo]
[Chorus]
Mmm, my Lord (Hare Krishna)
My, my, my Lord (Hare Krishna)
Oh, oh, my sweet Lord (Krishna Krishna)
Ooh (Hare Hare)

[Verse 5]
Now, I really wanna see you (Hare Rama)
Really wanna be with you (Hare Rama)
Really wanna see you, Lord
But it takes so long, my Lord

[Chorus]
(Hallelujah)
Mmm, my Lord (Hallelujah)
My, my, my Lord (Hare Krishna)
My, my sweet Lord (Hare Krishna)

[Post-Chorus]
My sweet Lord (Krishna Krishna)
Ah, oh, my Lord (Hare Hare)
Mmmmm (Gurur Brahma)
Mmmmm (Gurur Vishnu)
Mmmmm (Gurur Devo)
Mmmmm (Maheshwara)
My sweet Lord (Gurur Sakshaat)
My sweet Lord (Para Brahma)
My, my, my Lord (Tasmayi Shree)
My, my, my, my Lord (Guruve Namah)
My, my sweet Lord (Hare Rama)
[Outro]
(Hare Krishna)
My sweet Lord (Hare Krishna)
My, my sweet Lord (Krishna Krishna)
My, my sweet Lord (Hare Hare)23Embed",316,6vE90mi4yKsQGY3YD2OOv1,"{'danceability': 0.539, 'energy': 0.69, 'key': 1, 'loudness': -9.019, 'mode': 0, 'speechiness': 0.0332, 'acousticness': 0.083, 'instrumentalness': 0, 'liveness': 0.0847, 'valence': 0.553, 'tempo': 120.983, 'type': 'audio_features', 'id': '6vE90mi4yKsQGY3YD2OOv1', 'uri': 'spotify:track:6vE90mi4yKsQGY3YD2OOv1', 'track_href': 'https://api.spotify.com/v1/tracks/6vE90mi4yKsQGY3YD2OOv1', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6vE90mi4yKsQGY3YD2OOv1', 'duration_ms': 281232, 'time_signature': 4}",0.539,0.69,-9.019,0.0332,0.083,0.0,0.0847,0.553,120.983,281232,https://p.scdn.co/mp3-preview/ea54d9aebcc7ecf50a7bb654e90cd70b3e112338?cid=a4bf3a6d2a1640eeaff76c0764a15e10
God Only Knows - Mono,The Beach Boys,Pet Sounds (Original Mono & Stereo Mix),67,"1 ContributorGod Only Knows (mono mix) LyricsI may not always love you
But long as there are stars above you
You never need to doubt it
I'll make you so sure about it

God only knows what I'd be without you

If you should ever leave me
Though life would still go on, believe me
The world could show nothing to me
So what good would living do me?

God only knows what I'd be without you

And God only knows what I'd be without you

If you should ever leave me
Though life would still go on, believe me
The world could show nothing to me
So what good would living do me?

God only knows what I'd be without you

And God only knows what I'd be without you
God only knows what I'd be without you
God only knows what I'd be without you
God only knows what I'd be without you
God only knows what I'd be without you
God only knows what I'd be without you
God only knows what I'd be without you
God only knows what I'd be without you
God only knows what I'd be without you
God only knows what I'd be without you
God only knows what I'd be without you
God only knows what I'd be without youYou might also likeEmbed",222,6iGU74CwXuT4XVepjc9Emf,"{'danceability': 0.521, 'energy': 0.487, 'key': 6, 'loudness': -7.525, 'mode': 0, 'speechiness': 0.0299, 'acousticness': 0.253, 'instrumentalness': 0, 'liveness': 0.0579, 'valence': 0.483, 'tempo': 117.072, 'type': 'audio_features', 'id': '6iGU74CwXuT4XVepjc9Emf', 'uri': 'spotify:track:6iGU74CwXuT4XVepjc9Emf', 'track_href': 'https://api.spotify.com/v1/tracks/6iGU74CwXuT4XVepjc9Emf', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6iGU74CwXuT4XVepjc9Emf', 'duration_ms': 173040, 'time_signature': 4}",0.521,0.487,-7.525,0.0299,0.253,0.0,0.0579,0.483,117.072,173040,
Bridge Over Troubled Water,Simon & Garfunkel,Bridge Over Troubled Water,72,"57 ContributorsBridge Over Troubled Water Lyrics[Verse 1]
When you're weary
Feeling small
When tears are in your eyes
I will dry them all
I'm on your side
Oh, when times get rough
And friends just can't be found

[Chorus]
Like a bridge over troubled water
I will lay me down
Like a bridge over troubled water
I will lay me down

[Verse 2]
When you're down and out
When you're on the street
When evening falls so hard
I will comfort you
I'll take your part
Oh, when darkness comes
And pain is all around

[Chorus]
Like a bridge over troubled water
I will lay me down
Like a bridge over troubled water
I will lay me down
You might also like[Verse 3]
Sail on silver girl
Sail on by
Your time has come to shine
All your dreams are on their way
See how they shine
Oh, if you need a friend
I'm sailing right behind

[Chorus]
Like a bridge over troubled water
I will ease your mind
Like a bridge over troubled water
I will ease your mind24Embed",180,6l8EbYRtQMgKOyc1gcDHF9,"{'danceability': 0.149, 'energy': 0.206, 'key': 3, 'loudness': -13.888, 'mode': 1, 'speechiness': 0.0323, 'acousticness': 0.822, 'instrumentalness': 0.000649, 'liveness': 0.115, 'valence': 0.264, 'tempo': 79.764, 'type': 'audio_features', 'id': '6l8EbYRtQMgKOyc1gcDHF9', 'uri': 'spotify:track:6l8EbYRtQMgKOyc1gcDHF9', 'track_href': 'https://api.spotify.com/v1/tracks/6l8EbYRtQMgKOyc1gcDHF9', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6l8EbYRtQMgKOyc1gcDHF9', 'duration_ms': 293120, 'time_signature': 4}",0.149,0.206,-13.888,0.0323,0.822,0.000649,0.115,0.264,79.764,293120,https://p.scdn.co/mp3-preview/e80a149b25c33d4e44579f7096b509fe379b0bc7?cid=a4bf3a6d2a1640eeaff76c0764a15e10
Bohemian Rhapsody - Remastered 2011,Queen,A Night At The Opera (2011 Remaster),0,"1 ContributorTop Groups of 2021 LyricsBTS - Butter
Maroon 5 - Memories
Imagine Dragons - Follow You
One Direction - Best Song Ever
Queen - Bohemian Rhapsody
The Beatles - Let It Be (Remastered 2009)
Måneskin - Beggin'
Arctic Monkeys - Why'd You Only Call Me When You're High?
Linkin Park - In the End
BLACKPINK - Ice Cream (with Selena Gomez)
Twenty One Pilots - Shy Away
$uicideboy$ - ...And to Those I Love, Thanks for Sticking Around
The Neighbourhood - Sweater Weather
Red Hot Chili Peppеrs - Scar Tissue
AC/DC - Thunderstruck
Black Eyed Pеas - I Gotta Feeling
OneRepublic - Someday
Metallica - Enter Sandman
Little Mix - Sweet Melody
Zé Felipe & Os Barões Da Pisadinha - Senta Danada
The Chainsmokers, ILLENIUM & Lennon Stella - Takeaway
Glass Animals - Heat Waves
TWICE - The Feels
Nirvana - Come As You Are
Migos - Straightenin
Banda MS de Sergio Lizárraga - La Casita
Reik & Maluma - Perfecta
Grupo Firme - Ya Supérame (En Vivo)
Green Day - Boulevard of Broken Dreams
5 Seconds of Summer - Youngblood
ABBA - Chiquitita
The Rolling Stones - Start Me Up (Remastered 2009)
Panic! At The Disco - High Hopes
Pink Floyd - Wish You Were Here (2011 Remaster)
Bob Marley & The Wailers - Is This Love
Guns N' Roses - Sweet Child O' Mine
Jorge & Mateus - Namorando Com Saudade
Internet Money - His & Hers (feat. don Toliver, Lil Uzi Vert & Gunna)
Tame Impala - Borderline
Wisin & Yandel, Chris Brown & T-Pain - Algo Me Gusta De Ti
Daft Punk - One More Time
Jonas Brothers - Sucker
Aventura & Bad Bunny - Volví
U2 - Beautiful Day
Bring Me The Horizon - DiE4u
Bon Jovi - It's My Life
Led Zeppelin - Whole Lotta Love (1990 Remaster)
Calibre 50 - A La Antigüita
Henrique & Juliano - Arranhão (Ao Vivo)
Stray Kids - ThunderousEmbed",322,7tFiyTwD0nx5a1eklYtX2J,"{'danceability': 0.392, 'energy': 0.402, 'key': 0, 'loudness': -9.961, 'mode': 0, 'speechiness': 0.0536, 'acousticness': 0.288, 'instrumentalness': 0, 'liveness': 0.243, 'valence': 0.228, 'tempo': 143.883, 'type': 'audio_features', 'id': '7tFiyTwD0nx5a1eklYtX2J', 'uri': 'spotify:track:7tFiyTwD0nx5a1eklYtX2J', 'track_href': 'https://api.spotify.com/v1/tracks/7tFiyTwD0nx5a1eklYtX2J', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7tFiyTwD0nx5a1eklYtX2J', 'duration_ms': 354320, 'time_signature': 4}",0.392,0.402,-9.961,0.0536,0.288,0.0,0.243,0.228,143.883,354320,
Stairway to Heaven - Remaster,Led Zeppelin,Led Zeppelin IV (Deluxe Edition),80,"1 ContributorSasquatch LyricsCall me Tony Hawk cause Im sittin on the ground, An'

If you bring the lighting, Then I got that Thunder Sound, An’

If she's vegetarian I cucumber her down, Way

Harder then M.J. On a Play Ground, Woah


I spit sweet bars, Call it Wonka

Bitch I never play around, Tonka

Go ahead and talk shit then ima bonk ya'

Maybe someday is this World that Ima conquer


Im spittin’ Venom, These other rappers forget em'

They come around and I end em'

And hit em' with my momentum Ah'


The mechanism
You might also likeThe stopping the communism

This poppin' up out the prism

This pottin' the raw the system. Hah!


I gotta lotta heart like King Kong

She playin' with my balls like ping-pong

I feed her my Dick like a Ding-Dong

Playin’ With them titties in the cities like bing-bong


It seems apparent that starin’ im incoherent

Transparent when people glarin'

Not caring’ my musics blarin' And'


I devour

The people begin to cower
The rifle up on the tower

Thats fired at every hour, Woah!


Somehow I never seem to give a Fuck

Got ahead and talk shit, I can't get enough

Throw your fist up, If you’re feelin' tough

Skinny young man through hands, like im hella buff


You chippin' from the rough, for the sandtrap

Im sittin' on the green fareway or the stairway, To

Heaven, Led Zeplin

Play it backwards, Its the password to get your ass hurt



So, Are you a bastard?
Sittin' at your local bar gettin' platered

Too fucked up, and you act a hazard

Remastered, Got your ass walkin' backwards



Please. You need to stay calm

I know I spit heat like a fucking napalm

Get to rowdy and you get a face palm. Wait

I dont give a Fuck cause im so, wait, GONE



Ive been drinkin too much liquor

Now my belly's getting sicker

Need find a girl to dick her dick her down. Dick her down

Pick her up and Dick her down

Make her world go round when I go down town. Pound



Pound on down them ovaries

Ain't nobody over me

Stickin through these women like im diggin through my groceries

Lets have a toast to me

Heres to what im supposed to be

Heres to when i hit it and remember who was close to me



Think before you say it with your mouth

Back when all I used to do was stay up in my house

Back when not a single so would care what im about

This is what i am about so keep my name up out your mouthEmbed",442,5CQ30WqJwcep0pYcV4AMNc,"{'danceability': 0.338, 'energy': 0.34, 'key': 9, 'loudness': -12.049, 'mode': 0, 'speechiness': 0.0339, 'acousticness': 0.58, 'instrumentalness': 0.0032, 'liveness': 0.116, 'valence': 0.197, 'tempo': 82.433, 'type': 'audio_features', 'id': '5CQ30WqJwcep0pYcV4AMNc', 'uri': 'spotify:track:5CQ30WqJwcep0pYcV4AMNc', 'track_href': 'https://api.spotify.com/v1/tracks/5CQ30WqJwcep0pYcV4AMNc', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5CQ30WqJwcep0pYcV4AMNc', 'duration_ms': 482830, 'time_signature': 4}",0.338,0.34,-12.049,0.0339,0.58,0.0032,0.116,0.197,82.433,482830,https://p.scdn.co/mp3-preview/337c8d45ac66899bc2db9ef3ed9438fe1d035ab1?cid=a4bf3a6d2a1640eeaff76c0764a15e10
All Along the Watchtower,Jimi Hendrix,Electric Ladyland,77,"107 ContributorsAll Along the Watchtower Lyrics[Verse 1]
""There must be some kind of way out of here""
Said the joker to the thief
""There's too much confusion
I can't get no relief
Businessmen they drink my wine
Plowmen dig my earth
None will level on the line
Nobody offered his word""
Hey!

[Verse 2]
""No reason to get excited""
The thief, he kindly spoke
""There are many here among us
Who feel that life is but a joke
But, uh, but you and I, we've been through that
And this is not our fate
So let us stop talkin' falsely now
The hour's getting late
Hey!

[Guitar Solo]

Hey!
You might also like[Verse 3]
All along the watchtower
Princes kept the view
While all the women came and went
Barefoot servants too
Well, uh, outside in the cold distance
A wildcat did growl
Two riders were approaching
And the wind began to howl
Hey!

[Outro]
All along the watchtower
All along the watchtower71Embed",163,2aoo2jlRnM3A0NyLQqMN2f,"{'danceability': 0.438, 'energy': 0.805, 'key': 8, 'loudness': -6.237, 'mode': 1, 'speechiness': 0.0624, 'acousticness': 0.00255, 'instrumentalness': 5.69e-05, 'liveness': 0.0842, 'valence': 0.564, 'tempo': 113.253, 'type': 'audio_features', 'id': '2aoo2jlRnM3A0NyLQqMN2f', 'uri': 'spotify:track:2aoo2jlRnM3A0NyLQqMN2f', 'track_href': 'https://api.spotify.com/v1/tracks/2aoo2jlRnM3A0NyLQqMN2f', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2aoo2jlRnM3A0NyLQqMN2f', 'duration_ms': 240800, 'time_signature': 4}",0.438,0.805,-6.237,0.0624,0.00255,5.69e-05,0.0842,0.564,113.253,240800,https://p.scdn.co/mp3-preview/4f5eb4f96894dcab22691ebc7605cdbc4a7e70aa?cid=a4bf3a6d2a1640eeaff76c0764a15e10
Hotel California - 2013 Remaster,Eagles,Hotel California (2013 Remaster),85,"1 ContributorEagles - Hotel California (2013 Remaster) (Türkçe Çeviri) LyricsKaranlık bir çöl yolunda

Saçım da soğuk bir rüzgar

Colitaların ılık kokusu

Gökyüzüne yükseliyor

Uzakta bir yerde

Parlak bir ışık gördüm

Kafam ağırlaştı ve görüşüm bulanıklaştı

Gece için durmam gerekti






Orda kapı yolunda duruyordu

Görev zilini duydum

Ve kendi kendime düşündüm
You might also like'Bu cennette olabilir, cehennem de'

Sonra kız bir mum yaktı

Ve bana yolu gösterdi

Koridorda sesler vardı

Sanırım şöyle dediklerini duydum






Hotel California'ya hoşgeldiniz

Çok sevimli bir yer (Çok sevimli bir yer)

Çok sevimli bir yüz

Hotel California'da çokça oda var

Senenin herhangi bir zamanı (senenin herhangi bir zamanı)

Burda bulabilirsin





Onun aklı mücеvherlerde

Onun Mеrcedes bends'i var

Arkadaş diye çağırdığı

Bir sürü tatlı erkek arkadaşları var

Sahne de nasıl dans ediyorlar

Tatlı yaz terinde

Bazı danslar hatırlanmak içindir

Bazı danslar unutmak





Kaptana seslendim

""Lütfen bana şarabımı getir""

""Biz de 1969'dan beri o içki yok"" dedi

Ve hala o sesler çok uzaklardan çağırıyor

Seni gecenin ortasında uyandırır

Sadece şunu duyman için






Hotel California'ya hoşgeldiniz

Çok sevimli bir yer (Çok sevimli bir yer)

Çok sevimli bir yüz

Hotel California'da yaşıyorlar

Ne güzel bir süpriz (ne güzel bir süpriz)

Bahanelerinizi getirin






Tavan da aynalar

Buzda büyük pembe şampanya

Ve o dedi ki ""Burada hepimiz sadece kendimizin tutsağız""

Ve ana salonda

Ziyafet için toplandılar

Onu çelik bıçaklarıyla doğradılar

Ama canavarı öldüremezler






Hatırladığım son şey

Kapıya koşutuğumdu

Daha önce olduğum yere giden

Geçidi tekrar bulmalıydım

""Sakinleş"" dedi adam

Varmak için programlandık

""İstediğin zaman çıkış yapabilirsin

Ama asla ayrılamazsın""Embed",247,40riOy7x9W7GXjyGp4pjAv,"{'danceability': 0.579, 'energy': 0.508, 'key': 2, 'loudness': -9.484, 'mode': 1, 'speechiness': 0.027, 'acousticness': 0.00574, 'instrumentalness': 0.000494, 'liveness': 0.0575, 'valence': 0.609, 'tempo': 147.125, 'type': 'audio_features', 'id': '40riOy7x9W7GXjyGp4pjAv', 'uri': 'spotify:track:40riOy7x9W7GXjyGp4pjAv', 'track_href': 'https://api.spotify.com/v1/tracks/40riOy7x9W7GXjyGp4pjAv', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/40riOy7x9W7GXjyGp4pjAv', 'duration_ms': 391376, 'time_signature': 4}",0.579,0.508,-9.484,0.027,0.00574,0.000494,0.0575,0.609,147.125,391376,https://p.scdn.co/mp3-preview/6fedc11d0f55bef176cc1c5725ac1c57f9a2534a?cid=a4bf3a6d2a1640eeaff76c0764a15e10
In the Ghetto,Elvis Presley,Elvis 30 #1 Hits,52,"30 ContributorsIn the Ghetto Lyrics[Verse 1]
As the snow flies
On a cold and gray Chicago mornin'
A poor little baby child is born
In the ghetto (In the ghetto)
And his mama cries
'Cause if there's one thing that she don't need
It's another hungry mouth to feed
In the ghetto (In the ghetto)

[Bridge]
People, don't you understand
A child needs a helping hand
Or he'll grow to be an angry young man some day
Take a look at you and me
Are we too blind to see
Do we simply turn our heads
And look the other way?

[Verse 2]
Well, the world turns
And a hungry little boy with a runny nose
Plays in the street as the cold wind blows
In the ghetto (In the ghetto)
And his hunger burns
So he starts to roam the streets at night
And he learns how to steal and he learns how to fight
In the ghetto (In the ghetto)
You might also like[Bridge]
Then one night in desperation
The young man breaks away
He buys a gun, he steals a car
Tries to run, but he don't get far

[Verse 3]
And his mama cries
As a crowd gathers 'round an angry young man
Facedown on the street with a gun in his hand
In the ghetto (In the ghetto)
And as her young man dies (In the ghetto)
On a cold and gray Chicago mornin'
Another little baby child is born
In the ghetto (In the ghetto)

[Outro]
And his mama cries
In the ghetto (In the ghetto)
(In the ghetto)6Embed",265,7KWoeBqSdZHEloYKVxssfG,"{'danceability': 0.404, 'energy': 0.266, 'key': 10, 'loudness': -16.688, 'mode': 1, 'speechiness': 0.0334, 'acousticness': 0.716, 'instrumentalness': 0.133, 'liveness': 0.107, 'valence': 0.491, 'tempo': 88.916, 'type': 'audio_features', 'id': '7KWoeBqSdZHEloYKVxssfG', 'uri': 'spotify:track:7KWoeBqSdZHEloYKVxssfG', 'track_href': 'https://api.spotify.com/v1/tracks/7KWoeBqSdZHEloYKVxssfG', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7KWoeBqSdZHEloYKVxssfG', 'duration_ms': 167413, 'time_signature': 4}",0.404,0.266,-16.688,0.0334,0.716,0.133,0.107,0.491,88.916,167413,https://p.scdn.co/mp3-preview/5d4caf17fe9f5e0b2cbeea7e915669c1bf777ea4?cid=a4bf3a6d2a1640eeaff76c0764a15e10
Johnny B. Goode - Single Version,Chuck Berry,The Definitive Collection,0,"1 ContributorOriginal Rock N’ Roll LyricsSister Rosetta Tharpe - Strange Things Happening Every Day
Chuck Berry - Johnny B. Goode
Little Richard - Tutti Frutti
Elvis Presley - Blue Suede Shoes
Sister Rosetta Tharpe - Rock Daniel
Johnny Cash - Ring of Fire
The Rolling Stones - I Just Want To Make Love To You (Mono Version)
Fats Domino - Ain't That A Shame
Sister Rosetta Tharpe - That's All
Chubby Checker - The Twist
The Kingsmen - Louie Louie
Elvis Presley - Jailhouse Rock
The Rolling Stones - Jumpin' Jack Flash (Mono)
Roy Orbison - Oh, Pretty Woman
The Beatles - Twist And Shout (Remastered 2009)
Little Richard - Long Tall Sally
Bill Haley & His Comets - (We're Gonna) Rock Around The Clock
Sister Rosetta Tharpe - Down by the Riverside
Sister Rosetta Tharpe - Rock Me (feat. Lucky Millinder And His Orchestra)
The Who - My Generation (Stereo Version)
Neil Sedaka - Calendar Girl
Little Richard - Good Golly Miss Molly
Jerry Lee Lewis - Great Balls Of Fire
Sister Rosetta Tharpe - Shout, Sister, Shout! (feat. Lucky Millinder And His Orchestra)
Buddy Holly - That'll Be The Day
Johnny Cash - I Walk the Line
The Beatles - All My Loving (Remastered 2009)
Chuck Berry - Run Rudolph Run (Single Version)
Jerry Lee Lewis - Whole Lot of Shakin' Going On
The Rolling Stones - I'm A King Bee
Johnny Cash - A Boy Named Sue (Live at San Quentin State Prison, San Quentin, CA - February 1969)
Chuck Berry - You Never Can Tell
Johnny Cash - Folsom Prison Blues (Live at Folsom State Prison, Folsom, CA - January 1968)
The Beach Boys - Surfin' U.S.A. (Remastered)
Elvis Presley - Hound Dog
Elvis Presley - Heartbreak Hotel
Carl Perkins - Blue Suede Shoes
Carl Perkins - Matchbox
Chuck Berry - Roll Over Beethoven
Fats Domino - Blueberry Hill
Chubby Checker - Let's Twist Again
Chuck Berry - No Particular Place To Go
The Beatles - I Saw Her Standing There (Remastered 2009)
Neil Sedaka - Breaking Up Is Hard to Do
Carl Perkins - Boppin' The Blues
Chuck Berry - Maybellene (Single Version)
Jerry Lee Lewis - Wild One
John Mayall & The Bluesbreakers - All Your Love (Mono) (feat. Eric Clapton)
The Beatles - A Hard Day's Night (Remastered 2009)
Chuck Berry - Sweet Little SixteenEmbed",392,3TQXBhG2tlC4biC0G3IO2k,"{'danceability': 0.619, 'energy': 0.712, 'key': 0, 'loudness': -6.582, 'mode': 1, 'speechiness': 0.0564, 'acousticness': 0.841, 'instrumentalness': 0, 'liveness': 0.0554, 'valence': 0.959, 'tempo': 170.228, 'type': 'audio_features', 'id': '3TQXBhG2tlC4biC0G3IO2k', 'uri': 'spotify:track:3TQXBhG2tlC4biC0G3IO2k', 'track_href': 'https://api.spotify.com/v1/tracks/3TQXBhG2tlC4biC0G3IO2k', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3TQXBhG2tlC4biC0G3IO2k', 'duration_ms': 195013, 'time_signature': 4}",0.619,0.712,-6.582,0.0564,0.841,0.0,0.0554,0.959,170.228,195013,
